Company,City,COUNTY,Zip,Geographic Market,Number of Employees Fulltime,Corporate Plus,Annual Sales 2020,Annual Sales 2021,Annual Sales 2022,Revenue Classification,Revenue Class,Primary Industry ,Primary NAICS,Primary Industry 
Company 1,GARDENA,Los Angeles,90248,L,3,,"372,541.00","484,605.00","484,607.00",up to $1M,Class 1,Professional Services ,Offices of Real Estate Agents and Brokers,Professional Services
Company 2,Santa Monica,Los Angeles,90405,N,24,,"2,451,650.00","2,566,581.50","4,322,875.00",$1M to $10M,Class 2,Professional Services ,Architectural Services,Professional Services
Company 3,CERRITOS,Los Angeles,90703,N,7,,"2,747,836.00","3,572,026.00",,$1M to $10M,Class 2,Consumer Products ,Apparel Accessories and Other Apparel Manufacturing ,Consumer Products
Company 4,Pasadena,Los Angeles,91104,N,40,,"4,483,395.00","5,987,903.00","6,501,272.00",$1M to $10M,Class 2,Automotive Consumer Products ,Advertising Agencies,Automotive
Company 5,Pasadena,Los Angeles,91101,R,19,,"2,964,408.00","2,968,887.00","2,902,102.00",$1M to $10M,Class 2,Healthcare Transportation ,Graphic Design Services,Healthcare
Company 6,Los Angeles,Los Angeles,90065,N,3,,,,,up to $1M,Class 1,Consumer Products Food and Beverage Technology ,Advertising Agencies,Consumer Products
Company 7,Inglewood,Los Angeles,90301,L,22,,"7,169,687.83","8,337,956.21","9,916,184.63",$1M to $10M,Class 2,Automotive Consumer Products Professional Services ,Radio Stations ,Automotive
Company 8,Los Angeles,Los Angeles,90019,N,1,,"20,734.00","45,406.00","99,962.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Food and Beverage ",Marketing Consulting Services ,"Advertising, Entertainment, Media and Sports"
Company 9,Gardena,Los Angeles,90248,N,7,,"419,736.00","587,044.00","502,990.00",up to $1M,Class 1,Consumer Products ,Prefabricated Wood Building Manufacturing ,Consumer Products
Company 10,Duarte,Los Angeles,91010,R,3,,,,,up to $1M,Class 1,Professional Services ,Engineering Services,Professional Services
Company 11,LOS ANGELES,Los Angeles,90071,I,45,,"14,586,620.00","16,366,000.00","15,768,000.00",$10M to $50M,Class 3,Petrochemical and Energy Technology Utilities ,Offices of Lawyers,Petrochemical and Energy
Company 12,PASADENA,Los Angeles,91107,N,20,,,,,$1M to $10M,Class 2,Professional Services ,Commercial and Institutional Building Construction,Professional Services
Company 13,Los Angeles,Los Angeles,90006,L,100,,"25,000,000.00","52,456,352.00","57,342,938.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports Automotive Retail and Apparel ",Other Building Material Dealers ,"Advertising, Entertainment, Media and Sports"
Company 14,Monrovia,Los Angeles,91016,I,4,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Utilities ,Bare Printed Circuit Board Manufacturing  ,Manufacturing Suppliers
Company 15,Diamond Bar,Los Angeles,91765,N,11,,"2,333,398.00","2,194,992.00",,$1M to $10M,Class 2,Technology ,Custom Computer Programming Services ,Technology
Company 16,Burbank,Los Angeles,91504,N,548,,,,,over $50M,Class 4,"Advertising, Entertainment, Media and Sports Automotive Utilities ",Radio Networks ,"Advertising, Entertainment, Media and Sports"
Company 17,San Gabriel,Los Angeles,91775,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Manufacturing Suppliers ",Marketing Research and Public Opinion Polling,"Advertising, Entertainment, Media and Sports"
Company 18,Santa Fe Springs,Los Angeles,90670,N,20,,"2,952,600.00","3,617,760.00","4,852,510.00",$1M to $10M,Class 2,Manufacturing Suppliers ,Sign Manufacturing,Manufacturing Suppliers
